url,desc,title
http://archivo.lacapital.com.ar/2003/01/14/articulo_108.html,,Los secuestradores de Zapata estarían entre sus allegados
http://archivo.lacapital.com.ar/2003/01/14/articulo_98.html,,En tres meses fueron denunciados seis casos de falsos secuestros por teléfono
http://archivo.lacapital.com.ar/2003/01/14/articulo_105.html,,Más de 900 postulantes a cien puestos en la policía
http://archivo.lacapital.com.ar/2003/01/14/articulo_104.html,,Piratas del asfalto roban una carga de 31 mil kilos de soja
http://archivo.lacapital.com.ar/2003/01/14/articulo_99.html,,Denuncian a patovicas de un boliche por brutal paliza a cuatro jóvenes
http://archivo.lacapital.com.ar/2003/01/13/articulo_59.html,,Magro botín para un robo a mano armada en una heladería 
http://archivo.lacapital.com.ar/2003/01/13/articulo_57.html,,Balean a una mujer al disparar al aire tras un robo 
http://archivo.lacapital.com.ar/2003/01/13/articulo_61.html,,Se esfuman 400 mil Lecop de una agencia bancaria
http://archivo.lacapital.com.ar/2003/01/13/articulo_55.html,,Asesinaron a un obrero molinero en un asalto
http://archivo.lacapital.com.ar/2003/01/13/articulo_60.html,,Los más imaginativos e insólitos métodos hacia la ansiada libertad
http://archivo.lacapital.com.ar/2003/01/13/articulo_54.html,,Dos médicos condenados por aborto y absueltos por una demora judicial
http://archivo.lacapital.com.ar/2003/01/12/articulo_111.html,,Un chico de 8 años murió al tocar un ventilador 
http://archivo.lacapital.com.ar/2003/01/12/articulo_107.html,,Detienen al presunto homicida de un policía
http://archivo.lacapital.com.ar/2003/01/12/articulo_109.html,,Desplazaron a los jefes de la comisaría 25ª
http://archivo.lacapital.com.ar/2003/01/12/articulo_112.html,,Robo frustrado en una casa de familia
http://archivo.lacapital.com.ar/2003/01/12/articulo_98.html,,Dos hermanos que compraron el cielo
http://archivo.lacapital.com.ar/2003/01/12/articulo_113.html,,Insólita detención policial de un reportero gráfico de La Capital
http://archivo.lacapital.com.ar/2003/01/12/articulo_96.html,,Cinco presos se evadieron de una comisaría en el horario de visitas
http://archivo.lacapital.com.ar/2003/01/08/articulo_108.html,,Tres hombres heridos al resistir robo en desarmadero 
http://archivo.lacapital.com.ar/2003/01/08/articulo_110.html,,Balearon al hijo de un ex ministro del Interior 
http://archivo.lacapital.com.ar/2003/01/08/articulo_103.html,,Menores sorprendidos cuando saqueaban una casa 
http://archivo.lacapital.com.ar/2003/01/08/articulo_112.html,,Desvinculan a 25 policías por dos de los homicidios en los saqueos
http://archivo.lacapital.com.ar/2003/01/08/articulo_101.html,,Desvalijan la casa de un juez y se llevan armas
http://archivo.lacapital.com.ar/2003/01/08/articulo_100.html,,"Robo, toma de rehenes y muerte tras el espectacular golpe de una banda"
http://archivo.lacapital.com.ar/2003/01/08/articulo_96.html,,"Un taxista murió cuando conducía y, sin control, el auto arrolló a dos mujeres"
http://archivo.lacapital.com.ar/2003/01/08/articulo_98.html,,La fuga que rompió todos los récords
http://archivo.lacapital.com.ar/2003/01/07/articulo_99.html,,Retirado de la Federal mató a un joven tras un robo 
http://archivo.lacapital.com.ar/2003/01/07/articulo_97.html,,Agente de la Ansés detenido por maniobra fraudulenta 
http://archivo.lacapital.com.ar/2003/01/07/articulo_98.html,,Un muerto y un herido al pelear dos bandas de hermanos 
http://archivo.lacapital.com.ar/2003/01/07/articulo_108.html,,Lo matan de un tiro y le roban 12 mil dólares
http://archivo.lacapital.com.ar/2003/01/07/articulo_115.html,,Tres presos se fugaron de una seccional santafesina
http://archivo.lacapital.com.ar/2003/01/07/articulo_114.html,,Copan una casa y se llevan de rehén a una joven
http://archivo.lacapital.com.ar/2003/01/07/articulo_116.html,,Fue a visitar a su hermano y lo apresaron por un crimen
http://archivo.lacapital.com.ar/2003/01/07/articulo_102.html,,Cercado y apuñalado en el colectivo
http://archivo.lacapital.com.ar/2003/01/07/articulo_113.html,,Emboscaron a puestero de un mercado y le robaron $ 20 mil
http://archivo.lacapital.com.ar/2003/01/07/articulo_107.html,,Apresan y llevan a juicio al descuartizador de dos mujeres
http://archivo.lacapital.com.ar/2003/01/07/articulo_101.html,,Ordenan extraer sangre para un ADN a un acusado de violación
http://archivo.lacapital.com.ar/2003/01/07/articulo_103.html,,Salvaje asesinato a puñaladas de un policía en la zona roja sanlorencina
http://archivo.lacapital.com.ar/2003/01/11/articulo_103.html,,Le robaron 25 mil dólares a un jubilado platense 
http://archivo.lacapital.com.ar/2003/01/11/articulo_102.html,,Matan a un gitano de un balazo en un barrio porteño
http://archivo.lacapital.com.ar/2003/01/11/articulo_105.html,,Un colono pasó tres días maniatado tras un robo
http://archivo.lacapital.com.ar/2003/01/11/articulo_101.html,,Encapuchados aterrorizan a un matrimonio en Alvear 
http://archivo.lacapital.com.ar/2003/01/11/articulo_95.html,,Una chica de 18 años baleada tras el robo a un taxista 
http://archivo.lacapital.com.ar/2003/01/11/articulo_108.html,,Roban un auto y atan al sereno en un garaje céntrico
http://archivo.lacapital.com.ar/2003/01/11/articulo_110.html,,Condenan a un policía que atropelló a un ciclista con un patrullero 
http://archivo.lacapital.com.ar/2003/01/11/articulo_106.html,,Mejora el nene baleado durante una mudanza
http://archivo.lacapital.com.ar/2003/01/11/articulo_109.html,,Dos civiles y un policía heridos tras un feroz tiroteo que arrancó en Echesortu
http://archivo.lacapital.com.ar/2003/01/11/articulo_93.html,,Un comerciante denunció una salvaje sesión de torturas en una comisaría
http://archivo.lacapital.com.ar/2003/01/06/articulo_68.html,,Mujer policía mató al ladrón que le robó una cadenita 
http://archivo.lacapital.com.ar/2003/01/06/articulo_69.html,,Muere una mujer al caer un auto a un barranco 
http://archivo.lacapital.com.ar/2003/01/06/articulo_66.html,,Una mujer y su hija arrolladas por un auto que escapó 
http://archivo.lacapital.com.ar/2003/01/06/articulo_71.html,,Intentó asaltarlo otra vez el mismo ladrón
http://archivo.lacapital.com.ar/2003/01/06/articulo_65.html,,Asaltan a la hija de un comisario frente a su casa
http://archivo.lacapital.com.ar/2003/01/06/articulo_70.html,,Quisieron salvar a su hermana y se ahogaron junto con ella
http://archivo.lacapital.com.ar/2003/01/06/articulo_75.html,,Par de primos hospitalizados y con custodia por una venganza
http://archivo.lacapital.com.ar/2003/01/06/articulo_64.html,,"Reducen a una pareja, le roban el dinero y huyen llevándose su auto"
http://archivo.lacapital.com.ar/2003/01/05/articulo_127.html,,Detienen a un preso que se había fugado de una comisaría 
http://archivo.lacapital.com.ar/2003/01/05/articulo_123.html,,Un ciclista de 72 años murió al ser embestido por un auto 
http://archivo.lacapital.com.ar/2003/01/05/articulo_120.html,,"""Justiciero"" mató a ladrón de bicicletas"
http://archivo.lacapital.com.ar/2003/01/05/articulo_131.html,,Cayó un menor buscado por homicidio
http://archivo.lacapital.com.ar/2003/01/05/articulo_115.html,,Dos versiones por un golpe de piratas del asfalto
http://archivo.lacapital.com.ar/2003/01/05/articulo_121.html,,Mató a su esposa y fingió tener amnesia durante más de un año
http://archivo.lacapital.com.ar/2003/01/05/articulo_130.html,,Una nueva modalidad delictiva detrás de un asesinato alevoso
http://archivo.lacapital.com.ar/2003/01/05/articulo_114.html,,Devuelven una camioneta robada a cambio de mil pesos y logran fugar
http://archivo.lacapital.com.ar/2003/01/04/articulo_92.html,,Le roban el auto al hijo del intendente de Arroyo Seco
http://archivo.lacapital.com.ar/2003/01/04/articulo_88.html,,Asesinan a un joven de un escopetazo en el rostro 
http://archivo.lacapital.com.ar/2003/01/04/articulo_85.html,,Desmienten que sea policía un acusado por lesiones 
http://archivo.lacapital.com.ar/2003/01/04/articulo_97.html,,Dos detenidos por el crimen de un albañil 
http://archivo.lacapital.com.ar/2003/01/05/articulo_117.html,,La policía considera esclarecidos el 80 por ciento de los homicidios
http://archivo.lacapital.com.ar/2003/01/04/articulo_98.html,,Llevan a cabo insólito robo en el hipódromo
http://archivo.lacapital.com.ar/2003/01/04/articulo_84.html,,Robo de pesadilla a una familia de la zona sur
http://archivo.lacapital.com.ar/2003/01/04/articulo_90.html,,Violó una prohibición judicial para manejar y terminó preso
http://archivo.lacapital.com.ar/2003/01/04/articulo_96.html,,Vaciaron una distribuidora de cigarrillos en violento asalto
http://archivo.lacapital.com.ar/2003/01/04/articulo_82.html,,Abordan a un chofer y le sustraen 35 mil litros de combustible
http://archivo.lacapital.com.ar/2003/01/03/articulo_101.html,,Comienzan a inscribir para el curso de ingreso de agentes 
http://archivo.lacapital.com.ar/2003/01/03/articulo_103.html,,Lo apresaron por robo hormiga de bujías por 18 mil pesos 
http://archivo.lacapital.com.ar/2003/01/03/articulo_102.html,,Discutió con un muchacho y le descerrajó 5 tiros: está preso 
http://archivo.lacapital.com.ar/2003/01/03/articulo_105.html,,Exhuman dos cadáveres en causa paralela
http://archivo.lacapital.com.ar/2003/01/03/articulo_106.html,,Un mortal plan de venganza que tuvo un destinatario no previsto
http://archivo.lacapital.com.ar/2003/01/03/articulo_108.html,,Un homicida con una trágica historia familiar
http://archivo.lacapital.com.ar/2003/01/03/articulo_107.html,,Falleció después de pasar seis meses hospitalizado por una terrible paliza
http://archivo.lacapital.com.ar/2003/01/03/articulo_110.html,,Matan al dueño de una gomería en un robo
http://archivo.lacapital.com.ar/2003/01/03/articulo_111.html,,Mató a su pareja con un palo de amasar
http://archivo.lacapital.com.ar/2003/01/03/articulo_109.html,,Un comisario fue reconocido por la víctima de una paliza en una seccional
http://archivo.lacapital.com.ar/2003/01/10/articulo_102.html,,Disparó al aire y por milagro no hirió a una nena 
http://archivo.lacapital.com.ar/2003/01/10/articulo_105.html,,Roban valiosas reliquias de un convento porteño 
http://archivo.lacapital.com.ar/2003/01/10/articulo_104.html,,"Mató a la esposa, la enterró y 12 días después se entregó "
http://archivo.lacapital.com.ar/2003/01/10/articulo_98.html,,Mataron a sus 7 hijos por no poder mantenerlos
http://archivo.lacapital.com.ar/2003/01/10/articulo_100.html,,Diez años para un hombre que asesinó al hermano en una pelea
http://archivo.lacapital.com.ar/2003/01/10/articulo_96.html,,Murió el herido a puntazos por una prostituta
http://archivo.lacapital.com.ar/2003/01/10/articulo_106.html,,Reclamo de justicia en el caso Gauna
http://archivo.lacapital.com.ar/2003/01/10/articulo_107.html,,Jinetes perdieron sus caballos en un tiroteo con la policía
http://archivo.lacapital.com.ar/2003/01/10/articulo_97.html,,"La policía reforzó el ""alerta bancario"""
http://archivo.lacapital.com.ar/2003/01/10/articulo_94.html,,Un saqueo nocturno obligó a aplazar las actividades de un centro de salud
http://archivo.lacapital.com.ar/2003/01/09/articulo_91.html,,Incautan cigarrillos de contrabando en la Terminal 
http://archivo.lacapital.com.ar/2003/01/09/articulo_92.html,,Vecino justiciero baleó a los asaltantes de un repartidor 
http://archivo.lacapital.com.ar/2003/01/09/articulo_93.html,,Un ladrón fue denunciado por su propia madre 
http://archivo.lacapital.com.ar/2003/01/09/articulo_114.html,,Se defendió con un cuchillo del hombre que la golpeó y violó
http://archivo.lacapital.com.ar/2003/01/09/articulo_102.html,,Feroz reacción popular contra un vecino armado
http://archivo.lacapital.com.ar/2003/01/09/articulo_95.html,,Roban por cuarta vez en un mes un complejo educativo
http://archivo.lacapital.com.ar/2003/01/09/articulo_113.html,,Un nene en coma al dispararse un revólver durante una mudanza
http://archivo.lacapital.com.ar/2003/01/09/articulo_99.html,,Un piloto de Lino Oviedo en la pista del contrabando provincial
http://archivo.lacapital.com.ar/2003/01/09/articulo_94.html,,El gobierno sostiene que creará 1.200 nuevas plazas carcelarias
http://archivo.lacapital.com.ar/2003/01/09/articulo_96.html,,Golpe simultáneo contra la comisaría y el Banco Bisel de Coronel Arnold
http://archivo.lacapital.com.ar/2003/01/02/articulo_81.html,,Lo asesinan al darse cuenta de que era policía
http://archivo.lacapital.com.ar/2003/01/02/articulo_84.html,,Falleció un adolescente apuñalado en una pelea
http://archivo.lacapital.com.ar/2003/01/02/articulo_82.html,,Detienen al ex esposo de una mujer asesinada
http://archivo.lacapital.com.ar/2003/01/02/articulo_83.html,,Una avioneta cayó sobre un campo de soja y murió el piloto
http://archivo.lacapital.com.ar/2003/01/02/articulo_76.html,,Murió tras ser apuñalado en una pelea callejera
http://archivo.lacapital.com.ar/2003/01/02/articulo_85.html,,Un taxista se mató al caer con su auto desde un puente
http://archivo.lacapital.com.ar/2003/01/02/articulo_78.html,,Siete muertos al volcar un ómnibus
http://archivo.lacapital.com.ar/2003/01/02/articulo_72.html,,Procesaron a un albañil por el feroz asesinato de una pareja de ancianos
http://archivo.lacapital.com.ar/2003/01/02/articulo_75.html,,Reclaman a los tiros la devolución de un arma y asesinan a un inocente
http://archivo.lacapital.com.ar/2003/01/19/articulo_91.html,,Seis detenidos por el robo en Coronel Arnold
http://archivo.lacapital.com.ar/2003/01/19/articulo_93.html,,Preso fugado de una comisaría robó un auto y lo chocó 
http://archivo.lacapital.com.ar/2003/01/19/articulo_94.html,,Un muerto y un herido tras una pelea entre vecinos 
http://archivo.lacapital.com.ar/2003/01/19/articulo_95.html,,Baleó en forma accidental a una hermana 
http://archivo.lacapital.com.ar/2003/01/19/articulo_96.html,,Una anciana puso en fuga a un ladrón mordiéndole la mano 
http://archivo.lacapital.com.ar/2003/01/19/articulo_92.html,,Buscan a un empresario por un crimen
http://archivo.lacapital.com.ar/2003/01/19/articulo_99.html,,Cae ex policía por asalto a una pinturería
http://archivo.lacapital.com.ar/2003/01/19/articulo_88.html,,Dos adolescentes se ahogaron en el Saladillo
http://archivo.lacapital.com.ar/2003/01/29/articulo_96.html,,Piden por la investigación del crimen de un médico 
http://archivo.lacapital.com.ar/2003/01/29/articulo_95.html,,Denunciaron el falso robo de 38 mil litros de combustible 
http://archivo.lacapital.com.ar/2003/01/30/articulo_91.html,,Asaltado en su casa por tres violentos ladrones 
http://archivo.lacapital.com.ar/2003/01/31/articulo_112.html,,Un argentino preso en Francia muerto en su celda
http://archivo.lacapital.com.ar/2003/01/20/articulo_75.html,,Ardió un micro sin pasajeros en la autopista Aramburu 
http://archivo.lacapital.com.ar/2003/02/02/articulo_92.html,,Un hombre fue atacado con un cuchillo por resistir un robo
http://archivo.lacapital.com.ar/2003/02/01/articulo_84.html,,Un empresario fue asesinado por encargo
http://archivo.lacapital.com.ar/2003/02/04/articulo_99.html,,Tiene 14 años y enfrentó a la policía con una ametralladora 
http://archivo.lacapital.com.ar/2003/02/04/articulo_96.html,,Un lisiado murió arrollado por un auto en zona sur 
http://archivo.lacapital.com.ar/2003/02/04/articulo_98.html,,Hallan muerto a un chico que estaba desaparecido 
http://archivo.lacapital.com.ar/2003/02/04/articulo_102.html,,Confirman que dos ancianos murieron por causas naturales
http://archivo.lacapital.com.ar/2003/02/04/articulo_111.html,,Roban y matan de un balazo a un docente
http://archivo.lacapital.com.ar/2003/02/04/articulo_97.html,,La asaltan y la extorsionan para devolverle lo robado 
http://archivo.lacapital.com.ar/2003/02/04/articulo_109.html,,El caso Bulacio va a un juicio internacional
http://archivo.lacapital.com.ar/2003/02/04/articulo_101.html,,Una familia destruida en un violento choque frontal
http://archivo.lacapital.com.ar/2003/02/03/articulo_66.html,,Robó y al huir se hirió con el arma que llevaba en la cintura 
http://archivo.lacapital.com.ar/2003/02/03/articulo_69.html,,Un joven fue asesinado por el concubino de su mamá 
http://archivo.lacapital.com.ar/2003/02/03/articulo_68.html,,Falló su escondite y lo apresaron en pleno robo 
http://archivo.lacapital.com.ar/2003/02/03/articulo_67.html,,"Asaltaron una heladería, escaparon y los atraparon "
http://archivo.lacapital.com.ar/2003/02/03/articulo_65.html,,Mató a su padre cuando quiso abusar de ella
http://archivo.lacapital.com.ar/2003/02/03/articulo_71.html,,Asesinaron a comerciante secuestrado
http://archivo.lacapital.com.ar/2003/02/03/articulo_73.html,,Semana de decisiones en el crimen de García Belsunce
http://archivo.lacapital.com.ar/2003/02/03/articulo_72.html,,Un chico de 14 años asesinó a otro de 12
http://archivo.lacapital.com.ar/2003/02/03/articulo_70.html,,Encuentran muerta y junto a su cama a una pareja de ancianos
http://archivo.lacapital.com.ar/2003/02/03/articulo_64.html,,Asesinaron a golpes a un anciano en un presunto intento de robo
http://archivo.lacapital.com.ar/2003/02/04/articulo_110.html,,Murió mientras conducía
http://archivo.lacapital.com.ar/2003/02/04/articulo_93.html,,"""Chaplín"" negó haber matado a un pibe de 11"
http://archivo.lacapital.com.ar/2003/02/04/articulo_105.html,,Policía detenido por balear a un adolescente
http://archivo.lacapital.com.ar/2003/02/04/articulo_100.html,,Sangre y huellas para buscar a los asesinos de un jubilado
http://archivo.lacapital.com.ar/2003/02/04/articulo_94.html,,Se encadenó frente a los Tribunales para pedir que se aclare la muerte de su hijo
http://archivo.lacapital.com.ar/2003/02/02/articulo_91.html,,Discutió por celos y lo hirieron de bala en una pierna
http://archivo.lacapital.com.ar/2003/02/02/articulo_90.html,,Sin noticias de un comerciante secuestrado
http://archivo.lacapital.com.ar/2003/02/02/articulo_86.html,,Un nene y un joven baleados en violenta pelea
http://archivo.lacapital.com.ar/2003/02/02/articulo_93.html,,Sospechan de la facilidad con que Conzi escapa a la policía
http://archivo.lacapital.com.ar/2003/02/04/articulo_103.html,,Condenan al ex juez Brusa a indemnizar a la víctima de un accidente náutico
http://archivo.lacapital.com.ar/2003/02/02/articulo_84.html,,"Coronda, una cárcel con pena de muerte informal"
http://archivo.lacapital.com.ar/2003/02/02/articulo_87.html,,Un ladrón fue baleado por la policía en el patio de una casa en La Florida
http://archivo.lacapital.com.ar/2003/02/01/articulo_83.html,,Buscan a los asesinos de un joven acribillado
http://archivo.lacapital.com.ar/2003/02/01/articulo_82.html,,Salvan a dos nenes del incendio de una casa
http://archivo.lacapital.com.ar/2003/02/01/articulo_87.html,,Apresan a un bañero por la muerte de un menor
http://archivo.lacapital.com.ar/2003/02/01/articulo_89.html,,Detenido por el asesinato de un ex preso
